"Clothes","Roupas"
"Fashion that reveals your identity","Moda que revela sua identidade"
"See more","Ver mais"
"Accessories","Acessórios"
"Details that make all the difference","Detalhes que fazem toda a diferença"
"Shoes","Calçados"
"Comfort and style at every step","Conforto e estilo a cada passo"
"Scholarships","Bolsas"
"Functionality with personality","Funcionalidade com personalidade"
"How does it work?","Como Funciona?"
"Fast Delivery","Entrega Rápida"
"Receive your order quickly and safely, directly at your address.","Receba seu pedido com agilidade e segurança, direto no seu endereço."
"Secure Payment","Pagamento Seguro"
"We use the main gateways with advanced encryption.","Utilizamos os principais gateways com criptografia avançada."
"Buy safely","Compre com segurança"
"Choose the payment method that is most convenient for you.","Escolha o método de pagamento mais conveniente para você."
"Receive at home","Receba em casa"
"Your order will be delivered carefully, on time and with the standard of excellence that we value.","Seu pedido será entregue com cuidado, no prazo e com o padrão de excelência que prezamos."
"Default welcome msg!","Olá, seja bem vindo à Noryn Store"
